dollarsobligated,currentcontractvalue,ultimatecontractvalue,originalmajoragency,majoragency,originalcontractingagency,modifiedcontractingagency,contractingagency,contractingoffice,originalmajorfundingagency,majorfundingagency,modifiedfundingagency,programfundingagency,programfundingoffice,fundedbyforeigngovernmentorinter,agencywithintas,accountwithintas,subaccountwithintas,accounttitle,recoveryflag,signeddatecharacter,datesigned,effectivedatecharacter,effectivedate,currentcompletiondatecharacter,currentcompletiondate,ultimatecompletiondatecharacter,ultimatecompletiondate,idvtype,reasonformodification,typeofcontractpricing,lettercontract,multiyearcontract,performancebasedservicecontract,majorprogram,contingencyhumanitarianorpeaceke,costorpricingdatadod,contractfinancing,costaccountingstandardsclause,contractdescription,purchasecardaspaymentmethod,numberofactions,nationalinterestaction,idvlastdatetoordercharacter,idvlastdatetoorder,typeofidc,multipleorsingleawardidc,programacronym,bestvendorname,vendorname,vendoralternatename,vendorlegalorganizationname,vendordoingbusinessasname,bestvendornametype,divisionname,divisionnumberorofficecode,vendorenabled,vendorlocationdisableflag,ccrexception,vendoraddressline1,vendoraddressline2,vendoraddressline3,vendoraddresscity,originalvendoraddressstate,vendoraddressstate,vendoraddressstatelong,vendorzipcode,vendorcountry,originalvendorcongressionaldistr,vendorcongressionaldistrictmodif,vendorcongressionaldistrict,vendorsitecode,vendoralternatesitecode,vendordunsnumber,vendorduns,vendorphonenumber,vendorfaxnumber,ccrregistrationdatecharacter,ccrregistrationdate,ccrrenewaldatecharacter,ccrrenewaldate,parentname,changedparentname,bestparentname,parentduns13digit,parentduns,combinedduns,placeofperformancecode,originalplaceofperformancestate,placeofperformancestate,placeofperformancestateoriginal,placeofperformancecountry,placeofperformancezipcode,originalplacecongressionaldistri,placecongressionaldistrictmodifi,placeofperformancecongdistrict,majorproductorservicecode,productorservicecode,dodprogramsystemorequipmentcode,dodclaimantprogramcode,principalnaicscode,informationtechnologycommerciali,govtfurnishedequipmentorproperty,useofepadesignatedproducts,recoveredmaterialclauses,seatransportation,contractbundlingreason,consolidatedcontract,productcountryoforigin,uscontract,identifyingagencyid,procurementinstrumentid,modificationnumber,transactionnumber,fiscalyear,idvidentifyingagencyid,idvprocurementinstrumentid,idvmodificationnumber,solicitationid,uniquetransactionid,transactionstatus,competitioncategory,extentcompeted,reasonnotcompeted,numberofoffersreceived,commercialitemacquisitionprocedu,commercialitemtestprogram,smallbusinesscompetdemonstration,a76fairactaction,competitiveprocedures,solicitationprocedures,typeofsetaside,evaluatedpreference,typeofresearch,statutoryexceptiontofairopportun,businesssizedetermination,subcontractingplan,priceevaluationpercentdifference,fedbizopps,localareasetaside,organizationaltype,numberofemployees,annualrevenue,afirm,histunderutilizedbusinesszonehub,smalldisadvantagedbusiness,shelteredworkshopjwodprovider,historicallyblackcollegeoruniver,educationalinstitution,womanownedbusiness,veteranownedbusiness,servicedisabledveteranownedfirm,localgovernment,minorityinstitution,americanindianownedbusiness,stategovernment,federalgovernment,minorityownedbusiness,asianpacificamericanownedbusines,tribalgovernment,blackamericanownedbusiness,nativeamericanownedbusiness,subcontinentasianasianindianamer,hispanicamericanownedbusiness,hospital,forprofitorganization,nonprofitorganization,othernotforprofitorganization,foundation,hispanicservicinginstitution,landgrantcollege,v172,v173,veterinarycollege,veterinaryhospital,privateuniversityorcollege,schoolofforestry,statecontrolledinstitutionhigher,serviceprovider,receivescontracts,receivesgrants,receivescontractsandgrants,airportauthority,councilofgovernments,housingauthoritypublicortribal,interstateentity,planningcommission,portauthority,transitauthority,subchapterscorporation,limitedliabilitycorporation,foreignownedandlocated,architectureorengineering,dotcertifieddisadvantagedbusines,citylocalgovernment,communitydevelopcorpownedfirm,communitydevelopmentcorporation,constructionfirm,manufacturerofgoods,corporateentitynottaxexempt,countylocalgovernment,domesticshelter,federalagency,federallyfundedresearchanddevelc,foreigngovernment,indiantribefederallyrecognized,intermunicipallocalgovernment,internationalorganization,laborsurplusareafirm,localgovernmentowned,municipalitylocalgovernment,nativehawaiianownedfirm,otherbusinessororganization,otherminorityownedbusiness,partnershiporlimitedliabilitypar,schooldistrictlocalgovernment,smallagriculturalcooperative,soleproprietorship,townshiplocalgovernment,triballyownedfirm,tribalcollege,alaskannativeownedfirm,corporateentitytaxexempt,interagencycontractingauthority,sbacertifiedsmalldisadvantagedbu,emergingsmallbusiness,womenownedsmallbusiness,economicallydisadvantagedwomenow,womenownedsmallbusinessjointvent,economicallydisadvwomenownedsmal,manufacturingorganizationtype,walshhealyact,servicecontractact,davisbaconact,clingercohenact,otherstatutoryauthority,v237,rando,effective_year,effective_month,effective_day,signed_year,signed_month,signed_day
18929,18929,2252551.2,,General Services Administration,4740,4740: Public Buildings Service,Public Buildings Service,CV000, ,General Services Administration,4740: Public Buildings Service, ,,Not Applicable,,,,,,07/01/2008,07/01/2008,07/01/2008,07/01/2008,09/30/2008,09/30/2008,09/30/2008,09/30/2008,Delivery Order (DO),Invalid code: ,Fixed Price with Economic Price Adjustment,X,No,No,NONE,None,Invalid code: ,Invalid code: ,X,LEASE,No,1,NONE,,,,,,654 PLAZA ASSOCIATES LIMITED PARTNERSHIP (2344),654 PLAZA ASSOCIATES LIMITED PARTNERSHIP (2344),HR REAL ESTATE MANAGEMENT INC,654 PLAZA ASSOCIATES LIMITED PARTNERSHIP,,Invalid code: ,,,,,,654 MUOZ RIVERA AVE STE 933,,,SAN JUAN,PR,PR: Puerto Rico,PR,009184136,UNITED STATES,PR00,PR98,PR00,6115095760000PR,009184136,611509576,611509576,,,05/17/2006,05/17/2006,10/05/2008,10/05/2008,654 PLAZA ASSOCIATES LP,654 PLAZA ASSOCIATES LP,654 PLAZA ASSOCIATES LP,611509576,611509576,,,PR,PR: Puerto Rico,PR: PUERTO RICO,United States,009184123,PR00,PR98,PR00,X: Lease or rental of facilities,X111: Lease or Rental of Facilities -- Office Buildings,,,531120: Lessors of Nonresidential Buildings (except Miniwarehouses),,No,Not Required,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,4740: Public Buildings Service,GS02B1910308213,0,0,2008,4740: Public Buildings Service,GS02B19103,PA01,,6bf314bfe741f6db8611bfacae67b8bd,active,Full and open competition,A: Full and Open Competition, ,3,D,N,No,No,,NP: Negotiated Proposal / Quote,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Yes: transaction subject to FedBizOpps,,,33,$30000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,No,X,No,,,-1.7458423,2008,7,1,2008,7,1
0,0,0,,Dept. of Defense,1700,"1700: NAVY, Department of the","NAVY, Department of the",N68836, ,Dept. of Defense,"1700: NAVY, Department of the", ,,Not Applicable,,,,,,06/24/2009,06/24/2009,06/24/2009,06/24/2009,,,,,Indefinite Delivery Contract (IDC),Supplemental Agreement for work within scope,Fixed Price,X,No,No,,None,No,Invalid code: ,X,OUTBOUND SERVICES - SCHEDULE I,Unknown,0,NONE,12/31/2008,12/31/2008,,M,,ACTIVE MOVING & STORAGE CO,ACTIVE MOVING & STORAGE CO,,,,Invalid code: ,,,,,,900 NEW WARRINGTON RD,,,PENSACOLA,FL,FL: Florida,FL,32506,UNITED STATES,FL01,FL01,FL01,,,58219114,58219114,,,,,,,ACTIVE MOVING & STORAGE COMPANY,ACTIVE MOVING & STORAGE COMPANY,ACTIVE MOVING & STORAGE COMPANY,58219114,58219114,058219114,,:,"ZZ: Invalid code, or not in U.S.",: ,Invalid code: :,,ZZ,ZZ,ZZ,"V: Transportation, travel and relocation services",V003: Packing/Crating Services,,S1,484210: Used Household and Office Goods Moving,,No,Invalid code: ,Invalid code: ,N,Not a bundled requirement,No, ,Invalid code: ,"9700: DEFENSE, Department of",N6883604D0011,P00013,0,2009, ,,,,509a8f7d4ce945caa2f588dbf4f21507,active,Competed after exclusion of sources,D: Full and Open Competition after exclusion of sources, ,4,A,N,No,No,,NP: Negotiated Proposal / Quote, ,Invalid code: ,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.7351234,2009,6,24,2009,6,24
169000,169000,169000,,Dept. of Justice,1524,1524: Drug Enforcement Administration,Drug Enforcement Administration,DEAHQ, ,Dept. of Justice,1524: Drug Enforcement Administration, ,,Not Applicable,,,,,,08/17/2008,08/17/2008,08/17/2008,08/17/2008,08/12/2009,08/12/2009,08/12/2009,08/12/2009,Purchase Order (PO),Invalid code: ,Fixed Price,X,No,No,,None,Invalid code: ,Invalid code: ,No,SENIOR PROCUREMENT ANALYST,No,1,NONE,,,,,,ACCEL CORPORATION,ACCEL CORPORATION,,,,Invalid code: ,,,,,,15208 WATERGATE RD,,,SILVER SPRING,MD,MD: Maryland,MD,209055747,UNITED STATES,MD08,MD08,MD08,147980440,209055747,147980440,147980440,,,07/13/2004,07/13/2004,08/12/2009,08/12/2009,ACCEL CORPORATION,ACCEL CORPORATION,ACCEL CORPORATION,147980440,147980440,,,VA,VA: Virginia,VA: VIRGINIA,United States,222023275,VA08,VA08,VA08,A: Research and development,AD25: Services -- Operational Systems Development (R&D),,,"541990: All Other Professional, Scientific, and Technical Services",,No,Not Required,No Clauses Included,,Invalid code: ,No, ,Invalid code: ,1524: Drug Enforcement Administration,DJDEAHQ080371O,0,0,2008, ,,,,45fd217849fa43641c0b8845ed268ea5,active,Not available for competition,B: Not Available for Competition,OTH: Authorized by Statute,1,A,N,No,No,,SP1: Simplified Acquisition,8AN: 8(a) Sole Source,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,N,OTHER,19,$1200000.00,Yes,No,Yes,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,X,Yes,No,No,No,No,No,A,No,No,No,No,,,-1.9809071,2008,8,17,2008,8,17
6850.74,6850.74,6850.74,3600,Dept. of Veterans Affairs,3600,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00249,3600,Dept. of Veterans Affairs,"3600: VETERANS AFFAIRS, Department of","VETERANS AFFAIRS, Department of",00614,Not Applicable,36,160,,,,11/05/2010,11/05/2010,11/05/2010,11/05/2010,11/15/2010,11/15/2010,11/15/2010,11/15/2010,Purchase Order (PO),Invalid code: ,Fixed Price,X,Unknown,X,,None,Invalid code: ,Invalid code: ,Unknown,PROSTHETICS,Yes,1,NONE,,,,,,"ACCESSIBILITY SPECIALTIES, INC.","ACCESSIBILITY SPECIALTIES, INC.",A S I,"ACCESSIBILITY SPECIALTIES, INC.",,Invalid code: ,,,,,,1920 JOHN BARROW RD,,,LITTLE ROCK,AR,AR: Arkansas,AR,722041448,UNITED STATES,AR02,AR02,AR02,956054571,722041448,956054571,956054571,,,07/13/2006,07/13/2006,09/08/2011,09/08/2011,ACCESSIBILITY SPECIALTIES  INC.,ACCESSIBILITY SPECIALTIES  INC.,ACCESSIBILITY SPECIALTIES  INC.,956054571,956054571,,,TN,TN: Tennessee,TN: TENNESSEE,United States,381044073,TN09,TN09,TN09,"65: Medical, dental, and veterinary equipment and supplies","6515: Medical and Surgical Instruments, Equipment, and Supplies",,,"423450: Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers",,No,Not Required,No Clauses Included,,Not a bundled requirement,No, ,Mfg in U.S.,"3600: VETERANS AFFAIRS, Department of",VA614X12668,0,0,2011, ,,0,,4bcf5556902733853f8e260b9d109b95,active,Competed after exclusion of sources,F: Competed under SAT (Simplified Acquisition Threshold), ,1,A,N,No,No,,SP1: Simplified Acquisition,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Other Than Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,N,OTHER,11,$1700000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,A,X,X,X,No,,,-2.114959,2010,11,5,2010,11,5
3658,3658,3658,9700,Dept. of Defense,2100,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",W912SV,9700,Dept. of Defense,"5700: AIR FORCE, Department of the (Headquarters, USAF)","AIR FORCE, Department of the (Headquarters, USAF)",F6C309,Not Applicable,,,,,,12/14/2009,12/14/2009,12/05/2009,12/05/2009,12/06/2009,12/06/2009,12/06/2009,12/06/2009,Delivery Order (DO),Invalid code: ,Fixed Price,X,Unknown,Yes,,None,No,Not Applicable,X,LODGING DEC UTA,No,1,NONE,,,,,,"66 HOLYOKE, LLC","66 HOLYOKE, LLC",HOLIDAY INN,"66 HOLYOKE, LLC",,Invalid code: ,,,,,,245 WHITING FARMS AVE,,,HOLYOKE,MA,MA: Massachusetts,MA,010402839,UNITED STATES,MA01,MA01,MA01,801497665,010402839,801497665,801497665,,,01/18/2008,01/18/2008,02/19/2010,02/19/2010,66 HOLYOKE  LLC,66 HOLYOKE  LLC,66 HOLYOKE  LLC,801497665,801497665,,,MA,MA: Massachusetts,MA: MASSACHUSETTS,United States,010402839,MA01,MA01,MA01,"V: Transportation, travel and relocation services",V231: Lodging - Hotel/Motel,000,S1,721110: Hotels (except Casino Hotels) and Motels,NOT IT PRODUCTS OR SERVICES,No,Not Required,No Clauses Included,N,Not a bundled requirement,No,United States,Not a manufactured end product,"9700: DEFENSE, Department of",0003,0,0,2010,"9700: DEFENSE, Department of",W912SV10A0002,0,,43bf0b224a1373d6a15665596708b1cd,active,Full and open competition,A: Full and Open Competition, ,3,A,N,No,No,,NP: Negotiated Proposal / Quote,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,N,CORPORATE NOT TAX EXEMPT,46,$3500000.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.9437027,2009,12,5,2009,12,14
18744,0,0,,Dept. of Defense,97AS,97AS: Defense Logistics Agency,Defense Logistics Agency,SP0200,9700,Dept. of Defense,97AS: Defense Logistics Agency,Defense Logistics Agency,SP0200,Not Applicable,,,,,,09/28/2005,09/28/2005,09/28/2005,09/28/2005,10/11/2005,10/11/2005,,,Purchase Order (PO),Invalid code: ,Fixed Price,X,No,X,,None,Invalid code: ,Invalid code: ,X, ,No,1,NONE,,,,,,A-MED INTERNATIONAL SUPPLY INC,A-MED INTERNATIONAL SUPPLY INC,,,,Invalid code: ,,,,,,95 NEWFIELD AVE,,,EDISON,NJ,NJ: New Jersey,NJ,08837,UNITED STATES,NJ06,NJ06,NJ06,,,21526611,21526611,,,,,,,A-MED INTERNATIONAL SUPPLY INC,A-MED INTERNATIONAL SUPPLY INC,A-MED INTERNATIONAL SUPPLY INC,21526611,21526611,021526611,,NJ,NJ: New Jersey,NJ: ,United States,,NJ00,NJ90,NJ00,"65: Medical, dental, and veterinary equipment and supplies",6505: Drugs and Biologicals,000,C9B,423460: Ophthalmic Goods Merchant Wholesalers,,No,Not Required,No Clauses Included,N,Invalid code: ,No, ,Invalid code: ,"9700: DEFENSE, Department of",SP020005M3009,0,0,2005, ,,,,b94d192bd801e1332a30e6e97b26cfc6,active,Competed after exclusion of sources,D: Full and Open Competition after exclusion of sources, ,2,D,N,No,No,,SP1: Simplified Acquisition,SBA: Small Business Set-Aside -- Total,No Preference used,Invalid code: ,Invalid code: ,Small Business,Invalid code: ,0,Not Applicable: transaction with obligation less than or equal to $25K,,,0,$0.00,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,No,X,X,No,,,-1.965811,2005,9,28,2005,9,28
121000,0,0,4700,General Services Administration,4740,4740: Public Buildings Service,Public Buildings Service,DV000,4700,General Services Administration,4740: Public Buildings Service,Public Buildings Service,,Not Applicable,,,,,,06/15/2001,06/15/2001,06/15/2001,06/15/2001,06/15/2001,06/15/2001,06/15/2001,06/15/2001,Delivery Order (DO),Invalid code: ,Fixed Price,X,No,No,,None,Invalid code: ,Invalid code: ,X,,No,1,NONE,,,,,,AWTC ASSOCIATES,AWTC ASSOCIATES,,,,Invalid code: ,,,,,,242 TRUMBULL ST,,,HARTFORD,CT,CT: Connecticut,CT,061031213,UNITED STATES,CT01,CT01,CT01,,,861077444,861077444,,,,,,,AWTC ASSOCIATES,AWTC ASSOCIATES,AWTC ASSOCIATES,861077444,861077444,861077444,,VA,VA: Virginia,VA: ,United States,,VA00,VA90,VA00,X: Lease or rental of facilities,X111: Lease or Rental of Facilities -- Office Buildings,,,531120: Lessors of Nonresidential Buildings (except Miniwarehouses),,No,Invalid code: ,Invalid code: ,,Not a bundled requirement,No, ,Invalid code: ,4740: Public Buildings Service,DV000200106C01208GS03B40092,0,0,2001,4740: Public Buildings Service,GS03B40092,0,,e60cef1160578ccf5a4e7ea91cf2253b,active,Full and open competition,A: Full and Open Competition, ,2,D,N,No,No,,Invalid code: , ,Invalid code: ,Invalid code: ,Invalid code: ,Other Than Small Business,Plan Not Required,0,Yes: transaction subject to FedBizOpps,,,0,$0.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,X,X,No,,,-1.7177062,2001,6,15,2001,6,15
4714.05,4714.05,4714.05,9700,Dept. of Defense,1700,"1700: NAVY, Department of the","NAVY, Department of the",N00406,9700,Dept. of Defense,"1700: NAVY, Department of the","NAVY, Department of the",N64100,Not Applicable,,,,,,10/27/2009,10/27/2009,10/27/2009,10/27/2009,11/18/2009,11/18/2009,11/18/2009,11/18/2009,Purchase Order (PO),Invalid code: ,Fixed Price,X,Unknown,X,,None,Invalid code: ,Not Applicable,Unknown,"INSULATION SHEET, ARMAFLEX",No,1,NONE,,,,,,"ACCUSOURCE OPERATIONS, INC.","ACCUSOURCE OPERATIONS, INC.",ACCUSOURCE,"ACCUSOURCE OPERATIONS, INC.",,Invalid code: ,,,,,,1810 CATALINA CT,,,LIVERMORE,CA,CA: California,CA,945506416,UNITED STATES,CA10,CA10,CA10,041929378,945506416,41929378,41929378,,,06/21/2001,06/21/2001,05/22/2010,05/22/2010,ACCUSOURCE OPERATIONS,ACCUSOURCE OPERATIONS,ACCUSOURCE OPERATIONS,41929378,41929378,,,CA,CA: California,CA: CALIFORNIA,United States,945506416,CA10,CA10,CA10,56: Construction and building materials,"5640: Wallboard, Building Paper, and Thermal Insulation Materials",000,C9E,327999: All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,NOT IT PRODUCTS OR SERVICES,No,Meets Requirements,No Clauses Included,N,Invalid code: ,No,United States,Mfg in U.S.,"9700: DEFENSE, Department of",N0040610P0459,0,0,2010, ,,,,2a0d0d04f6877b23ffd2a66010deb0dd,active,Competed after exclusion of sources,D: Full and Open Competition after exclusion of sources, ,3,A,N,No,No,,NP: Negotiated Proposal / Quote,SBA: Small Business Set-Aside -- Total,No Preference used,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,N,CORPORATE NOT TAX EXEMPT,6,$1500000.00,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,Yes,No,No,No,No,No,A,No,No,No,No,,,-2.2418909,2009,10,27,2009,10,27
33070.11,0,0,9700,Dept. of Defense,5700,"5700: AIR FORCE, Department of the (Headquarters, USAF)","AIR FORCE, Department of the (Headquarters, USAF)",FA3022,9700,Dept. of Defense,"5700: AIR FORCE, Department of the (Headquarters, USAF)","AIR FORCE, Department of the (Headquarters, USAF)",FA3022,Not Applicable,57,3400,,,,10/01/2010,10/01/2010,10/01/2010,10/01/2010,09/30/2011,09/30/2011,09/30/2011,09/30/2011,Definitive Contract (DCA),Funding Only Action,Fixed Price,X,No,Yes,,None,No,Not Applicable,X,BITS,No,1,NONE,,,,,,ABILITY WORKS INCORPORATED,ABILITY WORKS INCORPORATED,ABILITY WORKS OF OXFORD,ABILITY WORKS INCORPORATED,ABILITYWORKS OF JACKSON,Invalid code: ,,,,,,50006 RUNWAY DR,,,ABERDEEN,MS,MS: Mississippi,MS,397309030,UNITED STATES,MS01,MS01,MS01,9588371220000PR,397309030,958837122,958837122,,,03/28/2006,03/28/2006,03/23/2008,03/23/2008,ABILITY WORKS  INC.,ABILITY WORKS  INC.,ABILITY WORKS  INC.,62655717,62655717,,,MS,MS: Mississippi,MS: MISSISSIPPI,United States,397101006,MS01,MS01,MS01,"R: Professional, admin, and management support services",R604: Mailing and Distribution Services,000,S1,492210: Local Messengers and Local Delivery,NOT IT PRODUCTS OR SERVICES,No,Meets Requirements,No Clauses Included,N,Not a bundled requirement,No, ,Not a manufactured end product,"9700: DEFENSE, Department of",FA302207F0015,P00024,0,2011, ,,0,,7c520b3fe00afc04f978e210921e17c4,active,Not available for competition,B: Not Available for Competition,OTH: Authorized by Statute,1,A,N,No,No,,SSS: Single Source Selected,NONE: No set aside used.,No Preference used,Invalid code: ,Invalid code: ,Other Than Small Business,Plan Not Required,0,Not Applicable: transaction with obligation less than or equal to $25K,,,2407,$8323620.00,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,A,X,Yes,X,No,,,-2.1516173,2010,10,1,2010,10,1
61128,0,0,9700,Dept. of Defense,2100,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",SW01,9700,Dept. of Defense,"2100: ARMY, Department of the (except Corps of Engineers Civil Program Financing)","ARMY, Department of the (except Corps of Engineers Civil Program Financing)",SW01,Not Applicable,,,,,,01/25/2001,01/25/2001,01/25/2001,01/25/2001,01/31/2001,01/31/2001,,,Delivery Order (DO),Invalid code: ,Fixed Price,X,No,No,,None,Yes,Not Applicable,X, ,No,1,NONE,,,,,,CORE PROCESSES INCORPORATED,CORE PROCESSES INCORPORATED,,,,Invalid code: ,,,,,,1800 NORTH BEAUREGARD STRE,,,ALEXANDRIA,VA,VA: Virginia,VA,22311,UNITED STATES,VA08,VA08,VA08,,,45658247,45658247,,,,,,,BCP INTERNATIONAL LIMITED,BCP INTERNATIONAL LIMITED,BCP INTERNATIONAL LIMITED,45658247,45658247,045658247,,VA,VA: Virginia,VA: ,United States,,VA00,VA90,VA00,B: Special studies and analyses (not R & D),B550: Organization/Administrative/PersonneI Studies,1000,S1,561110: Office Administrative Services,,No,Invalid code: ,Invalid code: ,U,Not a bundled requirement,No, ,Invalid code: ,"9700: DEFENSE, Department of",0009,0,0,2001,"9700: DEFENSE, Department of",DASW0100D0002,0,,123093c8a2275827316eab093e7925da,active,Competed after exclusion of sources,D: Full and Open Competition after exclusion of sources, ,2,D,N,No,No,,Invalid code: ,SBA: Small Business Set-Aside -- Total,Invalid code: ,Invalid code: ,Invalid code: ,Small Business,Plan Not Required,0,Yes: transaction subject to FedBizOpps,,,0,$0.00,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Unknown,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,Unknown,Unknown,No,No,No,Unknown,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,Unknown,No,No,No,No,No,No,No,No,No,No,X,No,No,No,No,No,No,,X,No,X,No,,,-1.7502627,2001,1,25,2001,1,25
